finger,q_deg,curl_progress,h_x_mm,h_y_mm,hand_mcp_x_mm,hand_mcp_y_mm,hand_pip_x_mm,hand_pip_y_mm,hand_dip_x_mm,hand_dip_y_mm,hand_tip_x_mm,hand_tip_y_mm,slot_start_x_mm,slot_start_y_mm,slot_end_x_mm,slot_end_y_mm,slider_x_mm,slider_y_mm,slider_translation_mm,slot_length_mm,rod_length_mm,rod_error_mm,mechanism_residual_mm
index,0.0,0.0,96.69943806967777,9.172111200234136,0.0,-1.0,40.0,-1.0,65.0,-1.0,90.0,-1.0,65.0,-11.0,90.0,-11.0,75.83944670296232,-11.0,10.839446702962318,25.000000000000004,29.018154836137576,0.0,7.105427357601002e-15
index,0.5,0.01282051282051282,96.69181043467647,6.616417486734771,0.0,-1.0,39.997881115156055,-1.4117114254457157,64.98988996499253,-2.0437665256510584,89.97762415881284,-2.8267990019780624,64.67667697446173,-12.038860203179185,89.66441116828204,-12.821892679506188,74.73329204443439,-12.354001069518944,10.06155159164026,25.000000000000004,29.018154836137576,0.0,1.3374110281461071e-06
index,1.0,0.02564102564102564,96.61099994067094,4.081999545379166,0.0,-1.0,39.99152468510787,-1.8233792324364586,64.95956519313222,-3.087085365069755,89.9105140044136,-4.652381955756802,64.3334465568574,-13.067464889582304,89.28439536813877,-14.632761480269352,73.64191773343794,-13.651431387506511,9.32677074425701,25.000000000000004,29.018154836137576,0.0,1.2327058200867214e-06
index,1.5,0.038461538461538464,96.45866940260322,1.569724284303205,0.0,-1.0,39.980931383282616,-2.23495980713838,64.90904168061576,-4.129509094962154,89.79872162918872,-6.475533830041636,63.970631786583965,-14.085381074391341,88.86031173515693,-16.431405809470824,72.56402459528474,-14.895367869284701,8.631481829473525,25.000000000000004,29.018154836137576,0.0,1.1424828088024697e-06
index,2.0,0.05128205128205128,96.23639959920116,-0.9194981274391236,0.0,-1.0,39.96610233197962,-2.6464095449593907,64.83834607680723,-5.170590817745546,89.64233380346191,-8.295041626442005,63.588565753328645,-15.09218590840742,88.39255347998332,-18.216636717103878,71.49874067332809,-16.08859635248951,7.972684681966546,25.000000000000004,29.018154836137576,0.0,1.0641441896552806e-06
index,2.5,0.0641025641025641,95.94570505678243,-3.384726177885098,0.0,-1.0,39.94703910225148,-3.0576848551688136,64.74751566780003,-6.2098844239900854,89.44147190006136,-10.10969539366053,63.18759127993185,-16.087466916894616,87.88154751219318,-19.98727788656506,70.44551283405019,-17.23367944871971,7.347872375990787,25.000000000000004,29.018154836137576,0.0,9.956282447376452e-07
index,3.0,0.07692307692307693,95.58804581973467,-5.824996140885832,0.0,-1.0,39.923743713737636,-3.4687421655155757,64.63659835341815,-7.246944854363974,89.19629178880977,-11.918289238969095,62.7680605995761,-17.070822228520623,87.32775403496773,-21.742166613125743,69.40402449405781,-18.33300706631093,6.754933558045746,25.000000000000004,29.018154836137576,0.0,9.352856480404625e-07
index,3.5,0.08974358974358974,95.16483696913605,-8.239329890238428,0.0,-1.0,39.89621863445036,-3.8795379268444314,64.50565261767122,-8.28132836091717,88.90698370103226,-13.719622336071357,62.33033502760954,-18.041860794261588,86.73166611097058,-23.480154769415773,68.37413219700242,-19.38883426964611,6.192077338676483,25.000000000000004,29.018154836137576,0.0,8.817864625143557e-07
index,4.0,0.10256410256410256,94.67745629106628,-10.626741592823569,0.0,-1.0,39.86446678051333,-4.2900286177097495,64.35474749268259,-9.312592767539062,88.57377206420547,-15.512499928454526,61.874784628316405,-19.000202596148217,86.09380919983928,-25.20010975706368,67.35581604506547,-20.403309720861305,5.657774738782983,25.000000000000004,29.018154836137576,0.0,8.340504713544306e-07
index,4.5,0.11538461538461539,94.12725041805382,-12.986243434647644,0.0,-1.0,39.82849151585264,-4.700170748986357,64.18396251611284,-10.340297729426066,88.19691530689715,-17.29573432733738,61.40178787694832,-19.94547884573979,85.41474066773263,-26.900915443651105,66.3491405113971,-21.378497012069765,5.150712489997767,25.000000000000004,29.018154836137576,0.0,7.911944948091332e-07
index,5.0,0.1282051282051282,93.51553970669241,-15.316850503638454,0.0,-1.0,39.78829665184045,-5.109920868476963,63.99338768210629,-11.3640049913957,87.77670563417334,-19.068145903326464,60.91173131733398,-20.877332172222516,84.69504926940104,-28.58147308415328,65.35422317024704,-22.31639056196969,4.6697561940962915,25.000000000000004,29.018154836137576,0.0,7.524921770141191e-07
index,5.5,0.14102564102564102,92.8436220672313,-17.617584930132587,0.0,-1.0,39.74388644689115,-5.519235565515669,63.78312338579104,-12.383278644884507,87.31346877367605,-20.82856407089819,60.40500921538557,-21.79541680003851,83.93535460327058,-30.24070222605219,64.37120956654624,-23.21892731253415,4.213920669012726,25.000000000000004,29.018154836137576,0.0,7.173428713258545e-07
index,6.0,0.15384615384615385,92.11277592362867,-19.887479368405142,0.0,-1.0,39.695265606010274,-5.928071475567075,63.55328036136857,-13.39768538346792,86.80756369260203,-22.57582826483111,59.8820232088233,-22.6993987159613,83.13630654005675,-31.877541597324495,63.40025291992829,-24.0879951529286,3.7823458811774717,25.000000000000004,29.018154836137576,0.0,6.852475920027246e-07
